"muniYear","agua","dren","elec"
"05001_1994",185,1,NA
"05001_1995",NA,NA,NA
"05001_1996",271,0,NA
"05001_1997",283,0,NA
"05001_1998",219,0,NA
"05001_1999",223,0,NA
"05001_2000",NA,NA,NA
"05001_2001",252,0,NA
"05001_2002",442,NA,NA
"05001_2003",247,NA,NA
"05001_2004",247,NA,NA
"05001_2005",517,NA,NA
"05001_2006",588,NA,NA
"05001_2007",595,NA,NA
"05001_2008",623,0,NA
"05001_2009",629,0,NA
"05001_2010",623,0,0
"05001_2011",1073,0,0
"05001_2012",NA,0,NA
"05001_2013",NA,0,NA
"05001_2014",NA,0,NA
"05001_2015",1073,0,0
"05002_1994",13495,1,NA
"05002_1995",NA,NA,NA
"05002_1996",17861,1,NA
"05002_1997",18371,1,NA
"05002_1998",20353,1,NA
"05002_1999",21464,1,NA
"05002_2000",24270,NA,NA
"05002_2001",25997,NA,NA
"05002_2002",27146,1,NA
"05002_2003",29519,NA,NA
"05002_2004",31431,NA,NA
"05002_2005",35222,NA,NA
"05002_2006",38047,NA,NA
"05002_2007",37529,NA,NA
"05002_2008",44519,1,NA
"05002_2009",44519,1,NA
"05002_2010",39353,1,0
"05002_2011",38750,1,0
"05002_2012",NA,1,NA
"05002_2013",NA,1,NA
"05002_2014",NA,1,NA
"05002_2015",45610,1,0
"05003_1994",4279,1,NA
"05003_1995",4949,1,NA
"05003_1996",5062,1,NA
"05003_1997",5287,1,NA
"05003_1998",5347,1,NA
"05003_1999",5508,1,NA
"05003_2000",5785,NA,NA
"05003_2001",5922,1,NA
"05003_2002",6055,1,NA
"05003_2003",6128,NA,NA
"05003_2004",6244,NA,NA
"05003_2005",6336,NA,NA
"05003_2006",6735,NA,NA
"05003_2007",6898,NA,NA
"05003_2008",7083,1,NA
"05003_2009",7087,1,NA
"05003_2010",7020,1,0
"05003_2011",6866,1,0
"05003_2012",NA,1,NA
"05003_2013",NA,1,NA
"05003_2014",NA,1,NA
"05003_2015",7283,1,0
"05004_1994",1752,2,NA
"05004_1995",NA,NA,NA
"05004_1996",1914,1,NA
"05004_1997",1881,1,NA
"05004_1998",1465,1,NA
"05004_1999",1492,1,NA
"05004_2000",1677,NA,NA
"05004_2001",1713,1,NA
"05004_2002",1771,1,NA
"05004_2003",1816,NA,NA
"05004_2004",1846,NA,NA
"05004_2005",1901,NA,NA
"05004_2006",2007,NA,NA
"05004_2007",2272,NA,NA
"05004_2008",2386,1,NA
"05004_2009",2415,1,NA
"05004_2010",2453,1,0
"05004_2011",2637,1,0
"05004_2012",NA,1,NA
"05004_2013",NA,1,NA
"05004_2014",NA,1,NA
"05004_2015",5571,1,0
"05005_1994",497,1,NA
"05005_1995",515,1,NA
"05005_1996",527,1,NA
"05005_1997",533,1,NA
"05005_1998",564,1,NA
"05005_1999",565,1,NA
"05005_2000",614,NA,NA
"05005_2001",627,1,NA
"05005_2002",625,1,NA
"05005_2003",643,NA,NA
"05005_2004",632,NA,NA
"05005_2005",681,NA,NA
"05005_2006",695,NA,NA
"05005_2007",704,NA,NA
"05005_2008",728,1,NA
"05005_2009",741,1,NA
"05005_2010",735,1,0
"05005_2011",733,1,0
"05005_2012",NA,1,NA
"05005_2013",NA,1,NA
"05005_2014",NA,1,NA
"05005_2015",730,1,0
"05006_1994",3518,1,NA
"05006_1995",3549,1,NA
"05006_1996",3742,1,NA
"05006_1997",3820,1,NA
"05006_1998",3593,1,NA
"05006_1999",3620,1,NA
"05006_2000",4086,NA,NA
"05006_2001",4221,NA,NA
"05006_2002",4344,1,NA
"05006_2003",4485,NA,NA
"05006_2004",4656,NA,NA
"05006_2005",4836,NA,NA
"05006_2006",5733,NA,NA
"05006_2007",5858,NA,NA
"05006_2008",6582,1,NA
"05006_2009",6865,1,NA
"05006_2010",6438,1,0
"05006_2011",6192,1,0
"05006_2012",NA,1,NA
"05006_2013",NA,1,NA
"05006_2014",NA,1,NA
"05006_2015",6814,1,0
"05007_1994",2394,1,NA
"05007_1995",NA,NA,NA
"05007_1996",2692,1,NA
"05007_1997",2726,1,NA
"05007_1998",2708,1,NA
"05007_1999",2778,1,NA
"05007_2000",2811,NA,NA
"05007_2001",3033,1,NA
"05007_2002",NA,1,NA
"05007_2003",2942,NA,NA
"05007_2004",3011,NA,NA
"05007_2005",3118,NA,NA
"05007_2006",3168,NA,NA
"05007_2007",3303,NA,NA
"05007_2008",3380,1,NA
"05007_2009",3474,1,NA
"05007_2010",3458,1,0
"05007_2011",3619,1,0
"05007_2012",NA,1,NA
"05007_2013",NA,1,NA
"05007_2014",NA,1,NA
"05007_2015",3805,1,0
"05008_1994",157,1,NA
"05008_1995",NA,NA,NA
"05008_1996",744,0,NA
"05008_1997",764,0,NA
"05008_1998",190,0,NA
"05008_1999",193,0,NA
"05008_2000",438,NA,NA
"05008_2001",446,0,NA
"05008_2002",480,NA,NA
"05008_2003",510,NA,NA
"05008_2004",484,NA,NA
"05008_2005",510,NA,NA
"05008_2006",780,NA,NA
"05008_2007",601,NA,NA
"05008_2008",650,0,NA
"05008_2009",850,0,NA
"05008_2010",1052,0,0
"05008_2011",1052,0,0
"05008_2012",NA,0,NA
"05008_2013",NA,0,NA
"05008_2014",NA,0,NA
"05008_2015",1052,0,0
"05009_1994",12389,1,NA
"05009_1995",12176,1,NA
"05009_1996",12182,1,NA
"05009_1997",12927,1,NA
"05009_1998",13009,1,NA
"05009_1999",13080,1,NA
"05009_2000",14033,NA,10018
"05009_2001",14144,1,NA
"05009_2002",14152,1,NA
"05009_2003",14430,NA,NA
"05009_2004",14653,NA,NA
"05009_2005",14702,NA,NA
"05009_2006",15155,NA,NA
"05009_2007",15423,NA,NA
"05009_2008",15591,1,NA
"05009_2009",15917,1,NA
"05009_2010",16051,1,0
"05009_2011",15928,1,0
"05009_2012",NA,1,NA
"05009_2013",NA,1,NA
"05009_2014",NA,1,NA
"05009_2015",17960,1,0
"05010_1994",14314,1,NA
"05010_1995",14056,1,NA
"05010_1996",14170,1,NA
"05010_1997",14868,1,NA
"05010_1998",15572,1,NA
"05010_1999",15982,1,NA
"05010_2000",NA,NA,NA
"05010_2001",NA,NA,NA
"05010_2002",NA,0,NA
"05010_2003",NA,NA,NA
"05010_2004",NA,NA,NA
"05010_2005",NA,NA,NA
"05010_2006",NA,NA,NA
"05010_2007",NA,NA,NA
"05010_2008",NA,NA,NA
"05010_2009",NA,NA,NA
"05010_2010",0,0,0
"05010_2011",NA,0,0
"05010_2012",NA,0,NA
"05010_2013",NA,0,NA
"05010_2014",NA,0,NA
"05010_2015",0,0,0
