"CVE_MUN","IM","POB_TOT","AÑO","muniYear"
"07099",0.646,59686,2000,"07099_2000"
"07017",-0.15,59152,1990,"07017_1990"
"07023",2.093,59005,2000,"07023_2000"
"07099",1.022,58827,1995,"07099_1995"
"07027",-0.128,58825,1995,"07027_1995"
"07061",0.199,58705,1995,"07061_1995"
"07096",1.359,58153,2000,"07096_2000"
"07057",0.583,58115,2005,"07057_2005"
"07099",0.818,57975,1990,"07099_1990"
"07034",0.137,57580,2005,"07034_2005"
"07077",1.395,57253,2010,"07077_2010"
"07106",0.737,56833,2005,"07106_2005"
"07107",0.275,54424,1990,"07107_1990"
"07040",0.141,54332,2015,"07040_2015"
"07077",1.693,53547,2005,"07077_2005"
"07069",0.51,53525,2015,"07069_2015"
"07057",0.267,53143,1995,"07057_1995"
"07023",1.997,52942,1995,"07023_1995"
"07106",0.574,52833,2000,"07106_2000"
"07034",0.171,52168,2000,"07034_2000"
"07023",2.088,51757,1990,"07023_1990"
"07106",0.106,51756,1995,"07106_1995"
"07012",0.152,51722,2015,"07012_2015"
"07040",0.005,51359,2010,"07040_2010"
"07069",0.523,50079,2010,"07069_2010"
"07034",0.353,50012,1995,"07034_1995"
"07077",1.749,49300,2000,"07077_2000"
"07096",1.355,48708,1995,"07096_1995"
"07096",1.563,48558,1990,"07096_1990"
"07040",-0.23,48476,2000,"07040_2000"
"07064",2.078,48126,2015,"07064_2015"
"07057",0.414,48106,1990,"07057_1990"
"07061",0.175,47954,1990,"07061_1990"
"07040",-0.151,47953,2005,"07040_2005"
"07051",0.249,47932,2015,"07051_2015"
"07040",-0.244,47644,1995,"07040_1995"
"07069",0.281,47616,1995,"07069_1995"
"07069",0.401,46949,2000,"07069_2000"
