"muniYear","POB_TOT"
"07014_1995",15105
"07047_2005",15005
"07014_2000",14993
"07049_1995",14944
"07014_2005",14932
"07005_1990",14799
"07001_2005",14653
"07114_2000",14436
"07035_2015",14416
"07016_1990",14391
"07001_2000",14189
"07070_2015",14121
"07105_2010",14089
"07066_1995",14073
"07086_1995",14046
"07022_2010",14027
"07104_2010",14009
"07014_1990",13973
"07105_2000",13934
"07082_2015",13844
"07083_1995",13819
"07062_1995",13795
"07105_1990",13620
"07105_2005",13459
"07022_2005",13295
"07044_1990",13203
"07070_2010",13201
"07066_1990",13131
"07047_2000",13076
"07115_2015",12945
"07091_2015",12887
"07105_1995",12835
"07070_2005",12831
"07104_2005",12757
"07035_2010",12665
"07001_1995",12607
"07060_2015",12508
"07086_1990",12293
"07082_2010",12269
"07022_2000",12256
"07024_2015",12181
"07091_2010",12170
"07067_2015",12136
"07104_2000",11925
"07056_2015",11906
"07060_2010",11878
"07001_1990",11736
"07070_2000",11641
"07115_2010",11451
"07116_2015",11444
"07047_1995",11403
"07083_1990",11368
"07042_2015",11342
"07056_2010",11157
"07115_2000",11147
"07035_2000",10917
"07115_2005",10906
"07035_2005",10902
"07104_1995",10877
"07067_2010",10870
"07070_1990",10834
"07024_2010",10817
"07043_2015",10772
"07085_2015",10707
"07070_1995",10574
"07060_2005",10543
"07091_2000",10349
"07082_2005",10246
"07042_2010",10239
"07043_2010",10176
"07091_2005",9934
"07007_2015",9913
"07022_1995",9901
"07116_2010",9856
"07035_1995",9852
"07104_1990",9845
"07067_2005",9785
"07085_2010",9740
"07047_1990",9702
"07043_2005",9696
"07073_2015",9578
"07035_1990",9446
"07022_1990",9442
"07060_2000",9271
"07018_2015",9210
"07043_2000",9143
"07024_2005",9050
"07056_2005",9042
"07073_2010",9002
"07091_1995",8939
"07042_2000",8877
"07085_2005",8852
"07042_2005",8734
"07007_2010",8728
"07116_2000",8580
"07067_2000",8566
"07116_2005",8538
"07007_2005",8506
"07091_1990",8491
"07018_2010",8444
"07043_1995",8180
"07084_2015",8082
"07084_2010",8065
"07082_2000",7987
"07073_2005",7965
"07084_2005",7900
"07042_1995",7796
"07053_2010",7793
"07084_2000",7784
"07053_2015",7769
"07085_2000",7767
"07117_2015",7682
"07018_2005",7681
"07025_2015",7644
"07010_2010",7623
"07056_2000",7602
"07024_2000",7568
"07024_1995",7542
"07053_1995",7498
"07010_2015",7494
"07053_1990",7491
"07033_2015",7430
"07043_1990",7365
"07060_1995",7341
"07025_2010",7332
"07042_1990",7306
"07098_2015",7284
"07036_2010",7272
"07018_2000",7217
"07110_2015",7202
"07024_1990",7195
"07053_2000",7180
"07025_2005",7124
"07067_1990",7087
"07085_1995",7062
"07067_1995",7061
"07036_2015",7057
"07033_2010",7000
"07025_2000",6965
"07084_1995",6926
"07117_2010",6900
"07073_2000",6870
"07053_2005",6845
"07007_1995",6775
"07110_2010",6734
"07036_2005",6723
"07113_2015",6712
"07010_2000",6673
"07082_1990",6640
"07010_2005",6612
"07007_2000",6559
"07117_2005",6511
"07056_1995",6506
"07033_2005",6454
"07018_1995",6435
"07084_1990",6417
"07025_1995",6388
"07060_1990",6386
"07098_2010",6375
"07085_1990",6243
"07073_1995",6167
"07010_1995",6126
"07010_1990",6114
"07036_2000",5969
"07082_1995",5940
"07110_2005",5918
"07028_2015",5899
"07098_2005",5839
"07056_1990",5783
"07018_1990",5746
"07055_2015",5743
"07007_1990",5681
"07110_2000",5673
"07036_1995",5644
"07025_1990",5552
"07098_2000",5513
"07045_2010",5478
"07073_1990",5431
"07028_2010",5405
"07045_2015",5384
"07036_1990",5325
"07050_2000",5288
"07050_2005",5286
"07028_2000",5242
"07033_2000",5236
"07118_2015",5163
"07050_1995",5141
"07050_1990",5114
"07029_2005",5112
"07117_2000",5086
"07113_2010",5072
"07055_2010",5033
"07029_2010",5018
"07029_2015",5000
"07050_2010",4974
"07028_2005",4957
"07050_2015",4915
"07045_2005",4911
"07113_2005",4906
"07055_2005",4806
"07055_2000",4794
"07028_1995",4770
"07110_1995",4723
"07045_2000",4707
"07098_1995",4671
"07118_2010",4545
"07045_1995",4515
"07028_1990",4497
"07055_1995",4381
"07029_2000",4345
"07058_2010",4317
"07058_2015",4262
"07045_1990",4240
"07110_1990",4239
"07098_1990",4218
"07090_2010",4121
"07033_1995",4061
"07055_1990",3961
"07058_2005",3935
"07090_2005",3928
"07029_1995",3906
"07033_1990",3903
"07090_2015",3839
"07063_2010",3792
"07119_2015",3684
"07063_2015",3682
"07029_1990",3645
"07090_2000",3639
"07113_2000",3635
"07063_2005",3440
"07118_2000",3423
"07090_1990",3343
"07058_1995",3308
"07090_1995",3286
"07119_2010",3245
"07118_2005",3145
"07058_2000",3135
"07063_2000",3132
"07063_1995",3029
"07058_1990",2943
"07119_2005",2854
"07063_1990",2633
"07088_2015",2283
"07088_2010",2235
"07119_2000",2174
"07088_2005",2088
"07088_2000",1936
"07088_1990",1739
"07088_1995",1431
"08037_2015",1391180
"08037_2010",1332131
"08037_2005",1313338
"08037_2000",1218817
"08037_1995",1011786
"08019_2015",878062
"08019_2010",819543
"08037_1990",798499
"08019_2005",758791
"08019_2000",671790
"08019_1995",627662
"08019_1990",530783
"08017_2015",168482
"08017_2010",154639
"08021_2015",148045
"08021_2010",137935
"08017_2005",134785
"08021_2005",127211
"08017_2000",124378
"08017_1995",120140
"08021_2000",116426
"08017_1990",112589
"08021_1995",110876
"08032_2015",109510
"08032_2010",107061
"08021_1990",104014
"08032_2005",103519
"08032_2000",100821
"08032_1995",98385
"08032_1990",90647
"08050_2015",63412
"08050_2010",59337
"08029_2015",56130
"08050_2005",54411
"08050_2000",54390
"08050_1995",54061
"08029_2010",53499
"08029_2005",51854
"08011_2015",51572
"08027_2010",49689
"08050_1990",49154
"08011_2010",48748
"08029_2000",48355
"08011_2005",47209
"08011_1995",46386
"08027_2005",45881
"08011_2000",45852
"08011_1990",45814
"08027_2015",45544
"08045_2015",44752
"08045_2010",43833
"08036_2015",42860
"08029_1995",42593
"08031_1990",41564
"08045_2005",41389
"08036_2010",41265
"08027_2000",40615
"08036_2005",40467
"08031_1995",40209
"08045_2000",40018
"08036_1995",39746
"08031_2010",39626
"08031_2000",39109
"08031_2015",39064
"08027_1995",38770
"08036_2000",38323
"08045_1995",38152
"08031_2005",37249
"08036_1990",37052
"08040_1990",35857
"08045_1990",34995
"08029_1990",34954
"08040_1995",34564
"08027_1990",34255
"08040_2000",34056
"08062_1990",32612
"08062_2010",32325
"08040_2005",32031
"08062_2015",31196
"08062_1995",31048
"08062_2000",30644
"08048_1990",30014
"08009_2005",29907
"08040_2010",29611
"08040_2015",29233
"08009_2010",28766
"08062_2005",28508
"08052_2015",28040
"08009_2015",27909
"08009_2000",27907
"08052_2010",26304
"08009_1995",25824
"08005_2015",24966
"08002_2015",24761
"08048_1995",24711
"08052_2000",24307
"08005_2010",23975
"08052_1990",23910
"08048_2000",23643
"08052_1995",23581
"08010_2015",23438
"08048_2015",23255
"08048_2010",22880
"08009_1990",22417
"08005_2005",22392
"08010_2010",22378
"08002_2010",22302
"08005_2000",21939
"08052_2005",21157
"08065_2015",20947
"08010_2005",20533
"08065_2010",20386
"08048_2005",20314
"08010_2000",20056
"08002_1995",19998
"08002_2005",19879
"08005_1995",19676
"08065_2005",19566
"08002_2000",19378
"08065_1995",19271
"08010_1995",19198
"08010_1990",17831
"08007_2010",17672
"08065_2000",17655
"08002_1990",17169
"08055_2015",16896
"08007_1995",16884
"08007_2015",16824
"08055_2010",16785
"08007_2000",16770
"08005_1990",16361
"08007_2005",16235
"08055_2005",15935
"08065_1990",15848
"08004_2015",15516
"08060_1990",15124
"08055_2000",14969
"08055_1995",14809
"08007_1990",14757
"08008_2010",14362
"08055_1990",14154
"08008_2005",13298
"08060_1995",12699
"08001_1995",12694
"08001_2015",12568
"08008_2000",12545
"08001_2000",11901
"08001_1990",11871
"08001_2005",11727
"08060_2000",11597
"08001_2010",11457
"08013_2015",11432
"08008_2015",11289
"08008_1995",11109
"08035_2015",10974
"08035_2010",10953
"08035_1990",10898
"08035_1995",10794
"08060_2015",10721
"08004_2010",10688
"08013_2010",10587
"08060_2010",10427
"08013_1995",10394
"08035_2000",10214
"08060_2005",10120
"08030_1990",10082
"08054_1990",10081
"08025_1990",10073
"08013_1990",10042
"08028_2000",10032
"08054_2000",10020
"08013_2000",10004
"08008_1990",9751
"08028_1995",9611
"08012_1990",9527
"08025_1995",9506
"08059_1990",9486
"08046_2000",9482
"08003_1995",9457
"08003_1990",9411
"08054_1995",9300
"08012_2015",9211
"08028_2005",9148
"08030_1995",9078
"08034_1990",9059
"08028_1990",9054
"08063_1990",9021
"08030_2010",8998
"08053_1995",8986
"08053_2000",8905
"08025_2015",8905
"08025_2000",8867
"08012_2010",8795
"08003_2015",8751
"08025_2010",8624
"08066_1995",8587
"08003_2000",8561
"08053_2005",8514
"08053_1990",8442
"08020_2010",8441
"08013_2005",8413
"08003_2010",8409
"08012_2005",8377
"08046_2010",8343
"08066_2000",8282
"08003_2005",8263
"08035_2005",8211
"08066_2010",8200
"08012_1995",8188
"08046_1995",8167
"08006_1990",8139
"08030_2000",8066
"08054_2010",8012
"08030_2005",8010
"08054_2015",7969
"08066_2005",7934
"08034_1995",7911
"08034_2000",7832
"08054_2005",7811
"08046_2015",7797
"08012_2000",7760
"08025_2005",7583
"08051_2015",7569
"08051_2010",7546
